Timestamp,Location,PM2.5,PM10,NO2,NH3,SO2,CO,O3,City,AQI
01-01-2020,Bengaluru - Silk Board,,,,,,,,Bengaluru,
02-01-2020,Bengaluru - Silk Board,43.67,134,20.28,10.98,3.41,0.91,21.82,Bengaluru,122.9261745
03-01-2020,Bengaluru - Silk Board,30.58,74.42,15.17,12.1,3.27,0.96,23.31,Bengaluru,74.42
04-01-2020,Bengaluru - Silk Board,66.35,155.68,42.9,11.75,3.26,2.54,29.7,Bengaluru,137.3310067
05-01-2020,Bengaluru - Silk Board,48,99.13,18.56,9.79,2.95,1.14,31.01,Bengaluru,99.13
06-01-2020,Bengaluru - Silk Board,23.75,63.34,17.21,7.4,2.82,1.08,25.82,Bengaluru,63.34
07-01-2020,Bengaluru - Silk Board,24.67,72,17.2,7.66,2.97,0.98,30.37,Bengaluru,72
08-01-2020,Bengaluru - Silk Board,34.18,79.06,18.16,9.35,2.99,0.99,29.61,Bengaluru,79.06
09-01-2020,Bengaluru - Silk Board,41.61,98,21.49,11.21,2.98,1.11,30.97,Bengaluru,98
10-01-2020,Bengaluru - Silk Board,38.95,97.7,19.77,12.8,3.34,0.97,31.89,Bengaluru,97.7
11-01-2020,Bengaluru - Silk Board,34.05,77.56,21.34,12.08,3.07,1.01,34.36,Bengaluru,77.56
12-01-2020,Bengaluru - Silk Board,39.12,75.93,17.88,16.07,2.96,0.96,44.84,Bengaluru,75.93
13-01-2020,Bengaluru - Silk Board,,,,,,,,Bengaluru,
14-01-2020,Bengaluru - Silk Board,,,,,,,,Bengaluru,
15-01-2020,Bengaluru - Silk Board,,,,,,,,Bengaluru,
16-01-2020,Bengaluru - Silk Board,38,93,45.15,11.95,3.95,0.68,16.18,Bengaluru,93
17-01-2020,Bengaluru - Silk Board,42.96,112.6,30.73,14.73,3.2,1.38,26.75,Bengaluru,108.7073826
18-01-2020,Bengaluru - Silk Board,26.8,59,16.92,11.34,3.18,1.02,31.02,Bengaluru,59
19-01-2020,Bengaluru - Silk Board,22.19,56.56,12.35,8.4,3.19,0.97,39.56,Bengaluru,56.56
20-01-2020,Bengaluru - Silk Board,34.24,100.22,26.62,9.03,3.23,1.1,31.6,Bengaluru,56.47448276
21-01-2020,Bengaluru - Silk Board,37.5,102.51,33.74,9.73,3.25,1.16,29.45,Bengaluru,102.0032886
22-01-2020,Bengaluru - Silk Board,34.48,86.75,26.2,9.86,3.22,1.11,34.25,Bengaluru,86.75
23-01-2020,Bengaluru - Silk Board,46.65,98.18,20.54,9.95,3.19,1.09,33.52,Bengaluru,98.18
24-01-2020,Bengaluru - Silk Board,38.05,96.7,40.46,8.42,2.87,1.16,40.62,Bengaluru,96.7
25-01-2020,Bengaluru - Silk Board,48.78,112.69,41.56,9.77,2.86,1.26,29.72,Bengaluru,108.7671812
26-01-2020,Bengaluru - Silk Board,51.86,111.57,41.8,12.05,2.81,1.29,25.68,Bengaluru,108.0230201
27-01-2020,Bengaluru - Silk Board,74.23,169.38,48.11,15.29,2.88,1.97,25.19,Bengaluru,146.4336913
28-01-2020,Bengaluru - Silk Board,61.95,162.59,53.65,12.5,2.89,1.62,24.9,Bengaluru,141.9222148
29-01-2020,Bengaluru - Silk Board,59.67,140.87,40.89,12.73,2.78,1.39,25.4,Bengaluru,127.4908054
30-01-2020,Bengaluru - Silk Board,72.46,191.19,63.83,13.42,2.83,1.93,24.72,Bengaluru,160.9248993
31-01-2020,Bengaluru - Silk Board,53.61,133.86,33.53,12.63,2.91,1.31,36.37,Bengaluru,122.8331544
01-02-2020,Bengaluru - Silk Board,57.62,112.99,16.11,12.28,3.17,0.99,40.39,Bengaluru,108.9665101
02-02-2020,Bengaluru - Silk Board,41.16,82,11.26,9.53,2.82,0.9,30.25,Bengaluru,82
03-02-2020,Bengaluru - Silk Board,36.32,89.84,26.36,8.44,2.73,1.06,36.14,Bengaluru,89.84
04-02-2020,Bengaluru - Silk Board,34.42,90.27,20.24,8.8,2.58,1.06,37.66,Bengaluru,90.27
05-02-2020,Bengaluru - Silk Board,34.2,82.97,19.62,8.91,2.66,1.04,34.19,Bengaluru,82.97
06-02-2020,Bengaluru - Silk Board,45.36,101.46,30.66,9.39,2.62,1.28,32.46,Bengaluru,101.3056376
07-02-2020,Bengaluru - Silk Board,60.29,132.17,35.42,10.61,2.87,1.29,36.41,Bengaluru,121.7102685
08-02-2020,Bengaluru - Silk Board,56.24,133.18,33.64,10.11,2.66,1.38,34.83,Bengaluru,122.3813423
09-02-2020,Bengaluru - Silk Board,42.09,85.5,15.75,9.15,2.91,0.96,43.23,Bengaluru,85.5
10-02-2020,Bengaluru - Silk Board,36.13,84.37,17.08,8.11,2.66,1.02,35.28,Bengaluru,84.37
11-02-2020,Bengaluru - Silk Board,38,95.19,26.81,7.61,2.66,1.09,36.65,Bengaluru,95.19
12-02-2020,Bengaluru - Silk Board,37.86,85.53,21.52,7.51,2.67,1.02,31.28,Bengaluru,85.53
13-02-2020,Bengaluru - Silk Board,39.13,100.44,39.89,7.81,2.75,1.28,38.64,Bengaluru,64.73689655
14-02-2020,Bengaluru - Silk Board,52.4,125.07,49.16,10.45,2.7,1.87,40.61,Bengaluru,116.9928188
15-02-2020,Bengaluru - Silk Board,56.35,130.38,55.33,10.87,2.78,1.62,33.98,Bengaluru,120.5209396
16-02-2020,Bengaluru - Silk Board,41.71,91.29,38.35,9.35,2.83,1.12,34.55,Bengaluru,91.29
17-02-2020,Bengaluru - Silk Board,44.28,101.74,41.7,10.65,2.76,1.43,47.27,Bengaluru,101.4916779
18-02-2020,Bengaluru - Silk Board,43.68,95.16,34.38,10.76,2.73,1.15,51.71,Bengaluru,95.16
19-02-2020,Bengaluru - Silk Board,45.45,99.09,32.09,10.61,2.61,1.03,34.7,Bengaluru,99.09
20-02-2020,Bengaluru - Silk Board,48.49,101.79,29.29,11.29,2.75,1.02,30.09,Bengaluru,101.5248993
21-02-2020,Bengaluru - Silk Board,30.5,67.75,19.38,10.48,2.54,0.94,38.24,Bengaluru,67.75
22-02-2020,Bengaluru - Silk Board,33.7,79.15,17.87,11.04,2.55,0.96,41.95,Bengaluru,79.15
23-02-2020,Bengaluru - Silk Board,37.16,86.35,12.62,10.23,2.6,1,33.31,Bengaluru,86.35
24-02-2020,Bengaluru - Silk Board,38.52,94,15.02,9,2.55,1.08,32.83,Bengaluru,94
25-02-2020,Bengaluru - Silk Board,42.18,108.38,28.13,9.96,2.62,1.1,38.66,Bengaluru,105.9034899
26-02-2020,Bengaluru - Silk Board,35.6,94.6,18.75,9.46,2.56,1.09,35.5,Bengaluru,94.6
27-02-2020,Bengaluru - Silk Board,38.76,102.95,30.46,9.43,2.58,1.24,34.7,Bengaluru,102.2956376
28-02-2020,Bengaluru - Silk Board,39.33,94.53,25.47,9.72,2.56,1.2,30.82,Bengaluru,94.53
29-02-2020,Bengaluru - Silk Board,37.66,96.49,23.04,9.38,2.58,1.16,39.89,Bengaluru,96.49
01-03-2020,Bengaluru - Silk Board,43.51,96.91,15.49,9.34,2.69,1.08,49.64,Bengaluru,96.91
02-03-2020,Bengaluru - Silk Board,63.49,137.43,33.66,10.04,2.67,1.48,32.05,Bengaluru,125.2051678
03-03-2020,Bengaluru - Silk Board,76.92,178.58,42.02,11.46,2.69,1.88,30.56,Bengaluru,155.3475862
04-03-2020,Bengaluru - Silk Board,64.23,150.84,53.35,11.33,2.74,1.97,39.68,Bengaluru,134.1151678
05-03-2020,Bengaluru - Silk Board,52.51,130.1,34.06,11.65,2.77,1.42,32.75,Bengaluru,120.3348993
06-03-2020,Bengaluru - Silk Board,26.76,98.67,34.37,10.08,2.54,1.35,55.93,Bengaluru,98.67
07-03-2020,Bengaluru - Silk Board,37.77,105.82,24.58,13.25,2.65,1.26,31.2,Bengaluru,104.2025503
08-03-2020,Bengaluru - Silk Board,26.61,79.84,13.73,13.01,2.58,1.1,32,Bengaluru,79.84
09-03-2020,Bengaluru - Silk Board,29.22,91.32,22.92,11.76,2.55,1.17,33,Bengaluru,91.32
10-03-2020,Bengaluru - Silk Board,30.92,91.06,18.66,11.01,2.69,1.11,36.54,Bengaluru,91.06
11-03-2020,Bengaluru - Silk Board,30.5,98.56,24.55,9.72,2.72,1.22,31.37,Bengaluru,98.56
12-03-2020,Bengaluru - Silk Board,30.24,92.55,26.87,9.04,2.63,1.21,27.17,Bengaluru,92.55
13-03-2020,Bengaluru - Silk Board,28.75,90.92,20.58,9.52,2.67,1.1,26.04,Bengaluru,90.92
14-03-2020,Bengaluru - Silk Board,27.26,79.28,18.21,8.82,2.56,1.03,22.38,Bengaluru,79.28
15-03-2020,Bengaluru - Silk Board,25.74,76.92,17.2,10.36,2.63,1,25.31,Bengaluru,76.92
16-03-2020,Bengaluru - Silk Board,20.83,68.97,10.79,8.43,2.62,0.91,31.16,Bengaluru,68.97
17-03-2020,Bengaluru - Silk Board,22.98,70.57,9.79,7.7,2.58,0.92,32.87,Bengaluru,70.57
18-03-2020,Bengaluru - Silk Board,30.67,63.14,12.04,8.47,2.6,0.96,38.53,Bengaluru,63.14
19-03-2020,Bengaluru - Silk Board,40.36,91,24.7,9.96,2.76,1.21,41.7,Bengaluru,91
20-03-2020,Bengaluru - Silk Board,37.92,80.32,26.21,11.24,2.63,1.21,43.45,Bengaluru,80.32
21-03-2020,Bengaluru - Silk Board,39.7,88.94,38.41,9,2.44,1.47,28.74,Bengaluru,88.94
22-03-2020,Bengaluru - Silk Board,23.03,48.83,10.14,11.25,2.57,0.91,24.67,Bengaluru,48.83
23-03-2020,Bengaluru - Silk Board,43.45,76.1,20.88,13.61,2.67,1.28,29.62,Bengaluru,76.1
24-03-2020,Bengaluru - Silk Board,42.63,72.37,11.46,11.87,2.76,0.94,34.64,Bengaluru,72.37
25-03-2020,Bengaluru - Silk Board,16.76,41.84,4.94,9.26,2.56,0.82,44.27,Bengaluru,44.27
26-03-2020,Bengaluru - Silk Board,19.87,48.93,4.21,8.79,2.62,0.88,36.78,Bengaluru,48.93
27-03-2020,Bengaluru - Silk Board,17.29,41.42,4.33,8.28,2.59,0.85,44.17,Bengaluru,44.17
28-03-2020,Bengaluru - Silk Board,17.14,43.27,5.95,7.55,2.68,0.83,31.82,Bengaluru,43.27
29-03-2020,Bengaluru - Silk Board,20.69,41.91,9.42,8.03,2.72,0.89,37.98,Bengaluru,44.5
30-03-2020,Bengaluru - Silk Board,13.92,36.92,5.46,7.93,2.76,0.82,44.29,Bengaluru,44.29
31-03-2020,Bengaluru - Silk Board,20.17,44.94,6.32,8.57,2.73,0.86,33.19,Bengaluru,44.94
01-04-2020,Bengaluru - Silk Board,21.38,50.72,5.59,8.15,2.75,0.87,27.75,Bengaluru,43.5
